num_layers,num_neurons,length,RMSE,loss
3,42,244,0.0587245805039427,14.328797642962018
3,100,361,0.0480208936275513,17.33554259954602
2,30,154,0.0767533353124106,11.820013638111233
2,63,214,0.0494892453651948,10.590698508151688
1,107,197,0.0538740338976379,10.613184677834669
1,117,180,0.0607275082907764,10.930951492339751
3,16,289,0.0654902339330633,18.926677606655293
3,102,400,0.0542837587095578,21.71350348382312
2,17,186,0.0568568419834114,10.57537260891452
1,89,175,0.1116264490249246,19.534628579361804
2,156,296,0.0296497115519538,8.776314619378326
3,33,233,0.041155103464707,9.589139107276733
2,154,400,0.0484129427368029,19.36517709472116
3,32,201,0.0391369078357786,7.866518474991498
3,31,188,0.0512468360203885,9.634405171833038
2,19,164,0.0931959894167754,15.284142264351166
2,65,185,0.0456255472186404,8.440726235448475
2,66,152,0.0563876344802986,8.570920441005388
2,68,313,0.0262248132899836,8.208366559764867
2,67,170,0.0494413973989048,8.405037557813817
2,69,168,0.0572649891800936,9.620518182255726
1,111,140,0.0772605093655402,10.816471311175627
1,103,152,0.0601542317882206,9.143443231809531
1,101,162,0.0648738530205842,10.50956418933464
1,105,155,0.0866011450579391,13.42317748398056
1,121,147,0.0596434027598876,8.767580205703478
1,120,231,0.0664239682025737,15.343936654794524
1,122,147,0.0573170165447701,8.425601432081205
1,115,230,0.0580229859435983,13.34528676702761
1,109,213,0.0775106299140421,16.509764171690968
1,102,206,0.0739588480976423,15.235522708114315
3,67,243,0.0455200817425729,11.061379863445216
1,67,188,0.0784030413587181,14.739771775439005
2,72,239,0.0346301077310555,8.276595747722265
2,71,186,0.0463436967347535,8.619927592664151
2,76,182,0.0786309213151835,14.310827679363396
1,128,193,0.0599260546276447,11.565728543135426
2,34,207,0.0723804351949439,14.982750085353388
3,41,220,0.0423980269400147,9.327565926803237
2,58,157,0.0658514762902387,10.338681777567476
2,40,157,0.0617185107219102,9.689806183339902
2,49,189,0.0409296884118711,7.735711109843637
2,50,202,0.0349301249089344,7.055885231604749
2,51,214,0.0669439771117177,14.32601110190759
1,144,175,0.0570189912987435,9.978323477280112
1,156,179,0.0493565131012869,8.834815845130356
1,16,400,0.0937491287022352,37.49965148089408
2,101,230,0.0483898016811299,11.129654386659876
3,125,400,0.0971912397987124,38.87649591948496
2,22,172,0.0633566125569305,10.897337359792045
